model_name,strata,year,pred,obs
Model 22.2.c,Total,2008,"52521.6003813553 (47,627, 57,920)",NA
Model 22.2.c,Total,2009,"52744.2359689822 (48,052, 57,895)",NA
Model 22.2.c,Total,2010,"54055.4804461547 (48,900, 59,755)",NA
Model 22.2.c,Total,2011,"53119.6687627361 (47,882, 58,930)",NA
Model 22.2.c,Total,2012,"54477.863836326 (49,092, 60,454)",NA
Model 22.2.c,Total,2013,"56173.1054055293 (50,778, 62,141)",NA
Model 22.2.c,Total,2014,"56376.05520501 (50,882, 62,463)",NA
Model 22.2.c,Total,2015,"55655.1950997963 (50,629, 61,180)",NA
Model 22.2.c,Total,2016,"55712.1861193964 (50,469, 61,500)",NA
Model 22.2.c,Total,2017,"55219.9269791785 (50,082, 60,885)",NA
Model 22.2.c,Total,2018,"53343.8298375945 (48,161, 59,085)",NA
Model 22.2.c,Total,2019,"50425.7207439844 (45,711, 55,627)",NA
Model 22.2.c,Total,2020,"46399.1241004893 (41,452, 51,937)",NA
Model 22.2.c,Total,2021,"44129.1713490239 (38,723, 50,290)",NA
Model 22.2.c,Total,2022,"44129.1713490239 (37,528, 51,892)",NA
